"novars" "variable" "value"
"161" 40 "pop4" 6785.88009319346
"162" 41 "pop4" 6783.0213840593
"163" 42 "pop4" 6793.04716718698
"164" 43 "pop4" 6802.95097763334
"165" 44 "pop4" 6811.81861574213
"166" 45 "pop4" 6818.24725262352
"167" 46 "pop4" 6828.28764262186
"168" 47 "pop4" 6838.07485273728
"169" 48 "pop4" 6846.76111113694
"170" 49 "pop4" 6856.72503494241
"171" 50 "pop4" 6866.79858704375
"172" 51 "pop4" 6876.49508839098
"173" 52 "pop4" 6883.28658470647
"174" 53 "pop4" 6893.12015931058
"175" 54 "pop4" 6893.12015931058
"176" 55 "pop4" 6893.12015931058
"177" 56 "pop4" 6887.60460053135
"178" 57 "pop4" 6891.91624330375
"179" 58 "pop4" 6900.7404718726
"180" 59 "pop4" 6909.1157360429
"181" 0 "pop1" 29878.7495908848
"182" 1 "pop1" 29340.4972110989
"183" 2 "pop1" 29313.5850879113
"184" 3 "pop1" 28702.1337175844
"185" 4 "pop1" 28442.5847872729
"186" 5 "pop1" 28102.987439202
"187" 6 "pop1" 28081.7002455601
"188" 7 "pop1" 27808.4135730138
"189" 8 "pop1" 27551.9822402432
"190" 9 "pop1" 27561.1589587418
"191" 10 "pop1" 27561.1589587418
"192" 11 "pop1" 27570.9097384523
"193" 12 "pop1" 27505.8675675179
"194" 13 "pop1" 27513.8727510748
"195" 14 "pop1" 27515.1596706092
"196" 15 "pop1" 27523.1480651748
"197" 16 "pop1" 27510.4235621018
"198" 17 "pop1" 27498.1287853088
"199" 18 "pop1" 27461.3227172395
"200" 19 "pop1" 27450.1361942821
"201" 20 "pop1" 27460.1496480807
"202" 21 "pop1" 27469.5670499266
"203" 22 "pop1" 27407.8978508948
"204" 23 "pop1" 27334.0886083473
"205" 24 "pop1" 27260.9532581525
"206" 25 "pop1" 27270.821993961
"207" 26 "pop1" 27271.244829546
"208" 27 "pop1" 27275.0520014396
"209" 28 "pop1" 27104.1433493362
"210" 29 "pop1" 27112.4467794303
"211" 30 "pop1" 27117.9614607329
"212" 31 "pop1" 27124.2691303052
