"","sub.forest.sizes","sub.forest.accuracies"
"1",3,0.51909287977322
"2",5,0.519926629981658
"3",7,0.518759379689845
"4",9,0.51975987993997
"5",11,0.520927130231783
"6",13,0.519426379856595
"7",15,0.518926129731532
"8",17,0.518759379689845
"9",19,0.51975987993997
"10",21,0.52042688010672
"11",23,0.520593630148408
"12",25,0.520760380190095
"13",27,0.520093380023345
"14",29,0.52042688010672
"15",31,0.520760380190095
"16",33,0.520760380190095
"17",35,0.519926629981658
"18",37,0.519926629981658
"19",39,0.519593129898283
"20",41,0.520093380023345
"21",43,0.519593129898283
"22",45,0.520093380023345
"23",47,0.52042688010672
"24",49,0.520093380023345
"25",51,0.51975987993997
"26",53,0.519593129898283
"27",55,0.51975987993997
"28",57,0.520260130065032
"29",59,0.519426379856595
"30",61,0.51975987993997
"31",63,0.520260130065032
"32",65,0.519926629981658
"33",67,0.519426379856595
"34",69,0.519926629981658
"35",71,0.520093380023345
"36",73,0.520593630148408
"37",75,0.520760380190095
"38",77,0.519926629981658
"39",79,0.52042688010672
"40",81,0.52042688010672
"41",83,0.520593630148408
"42",85,0.520260130065032
"43",87,0.521427380356845
"44",89,0.521594130398533
"45",91,0.521594130398533
"46",93,0.521427380356845
"47",95,0.521427380356845
"48",97,0.521594130398533
"49",99,0.52109388027347
"50",101,0.521427380356845
