"","sub.forest.sizes","sub.forest.accuracies"
"1",3,0.556481172942353
"2",5,0.559313562145951
"3",7,0.556147950683106
"4",9,0.555981339553482
"5",11,0.556314561812729
"6",13,0.558147284238587
"7",15,0.55731422859047
"8",17,0.558980339886704
"9",19,0.560813062312562
"10",21,0.560646451182939
"11",23,0.561146284571809
"12",25,0.559980006664445
"13",27,0.562312562479174
"14",29,0.560646451182939
"15",31,0.561479506831056
"16",33,0.560979673442186
"17",35,0.562312562479174
"18",37,0.564645118293902
"19",39,0.564478507164279
"20",41,0.563978673775408
"21",43,0.564311896034655
"22",45,0.564645118293902
"23",47,0.565311562812396
"24",49,0.563978673775408
"25",51,0.565144951682772
"26",53,0.564978340553149
"27",55,0.565811396201266
"28",57,0.565144951682772
"29",59,0.565811396201266
"30",61,0.564978340553149
"31",63,0.56597800733089
"32",65,0.565644785071643
"33",67,0.566311229590137
"34",69,0.567310896367877
"35",71,0.567810729756748
"36",73,0.570143285571476
"37",75,0.57080973008997
"38",77,0.569810063312229
"39",79,0.569643452182606
"40",81,0.567977340886371
"41",83,0.568643785404865
"42",85,0.568810396534489
"43",87,0.568310563145618
"44",89,0.568143952015995
"45",91,0.567477507497501
"46",93,0.567977340886371
"47",95,0.567644118627124
"48",97,0.568977007664112
"49",99,0.568643785404865
"50",101,0.569143618793735
