"","sub.forest.sizes","sub.forest.accuracies"
"1",3,0.602465844718427
"2",5,0.602799066977674
"3",7,0.602632455848051
"4",9,0.603132289236921
"5",11,0.602965678107298
"6",13,0.602799066977674
"7",15,0.603632122625791
"8",17,0.604131956014662
"9",19,0.603298900366545
"10",21,0.603298900366545
"11",23,0.60213262245918
"12",25,0.602465844718427
"13",27,0.603298900366545
"14",29,0.603965344885038
"15",31,0.604631789403532
"16",33,0.603298900366545
"17",35,0.603965344885038
"18",37,0.603298900366545
"19",39,0.603632122625791
"20",41,0.603132289236921
"21",43,0.603132289236921
"22",45,0.604298567144285
"23",47,0.604131956014662
"24",49,0.604298567144285
"25",51,0.604631789403532
"26",53,0.604131956014662
"27",55,0.603965344885038
"28",57,0.604298567144285
"29",59,0.604298567144285
"30",61,0.603632122625791
"31",63,0.603632122625791
"32",65,0.604298567144285
"33",67,0.603632122625791
"34",69,0.604631789403532
"35",71,0.604965011662779
"36",73,0.604465178273909
"37",75,0.604798400533156
"38",77,0.604631789403532
"39",79,0.604798400533156
"40",81,0.604965011662779
"41",83,0.605464845051649
"42",85,0.605631456181273
"43",87,0.605464845051649
"44",89,0.604965011662779
"45",91,0.605131622792403
"46",93,0.604798400533156
"47",95,0.604298567144285
"48",97,0.604465178273909
"49",99,0.603798733755415
"50",101,0.604465178273909
