"","sub.forest.sizes","sub.forest.accuracies"
"1",3,0.55731422859047
"2",5,0.559813395534822
"3",7,0.563478840386538
"4",9,0.566811062979007
"5",11,0.567644118627124
"6",13,0.566811062979007
"7",15,0.566977674108631
"8",17,0.569476841052982
"9",19,0.569310229923359
"10",21,0.569476841052982
"11",23,0.573642119293569
"12",25,0.572475841386205
"13",27,0.574475174941686
"14",29,0.573308897034322
"15",31,0.573808730423192
"16",33,0.573308897034322
"17",35,0.573975341552816
"18",37,0.574975008330556
"19",39,0.574141952682439
"20",41,0.573642119293569
"21",43,0.572809063645451
"22",45,0.573642119293569
"23",47,0.573642119293569
"24",49,0.571809396867711
"25",51,0.574475174941686
"26",53,0.572475841386205
"27",55,0.574141952682439
"28",57,0.573308897034322
"29",59,0.574308563812063
"30",61,0.574475174941686
"31",63,0.575808063978674
"32",65,0.575808063978674
"33",67,0.57564145284905
"34",69,0.575308230589803
"35",71,0.578307230923026
"36",73,0.576307897367544
"37",75,0.577974008663779
"38",77,0.578307230923026
"39",79,0.577974008663779
"40",81,0.577974008663779
"41",83,0.578307230923026
"42",85,0.579140286571143
"43",87,0.579640119960013
"44",89,0.579640119960013
"45",91,0.581806064645118
"46",93,0.581972675774742
"47",95,0.582139286904365
"48",97,0.581306231256248
"49",99,0.580639786737754
"50",101,0.580806397867378
