"ensemble","ensemble.size","accuracy"
"rfferns,pda,rf,adabag,knn,glmnet,multinom",7,0.51165889407062
"multinom,glmnet",2,0.500333111259161
"gbm,rfferns,rfrules,knn,adabag,pda,rf",7,0.515323117921386
"glmnet,rfrules,multinom,pda,gbm,rf",6,0.509327115256496
"adabag,gbm,multinom,rfrules",4,0.499333777481679
"rfferns,rfrules,glmnet,knn,pda",5,0.502664890073284
"knn,rf,rfferns,pda,rfrules,gbm,adabag,multinom,glmnet",9,0.513990672884743
"rfferns,gbm,knn,pda,rf,glmnet",6,0.516655562958028
"knn,pda,multinom,rf,rfferns,rfrules,gbm,adabag,glmnet",9,0.513990672884743
"gbm,multinom,rfrules,adabag,glmnet,rfferns,rf,pda,knn",9,0.513657561625583
"glmnet,gbm",2,0.494670219853431
"glmnet,rfrules,knn",3,0.503331112591606
"adabag,rf,rfferns,rfrules,knn,gbm",6,0.513324450366422
"multinom,rf,rfrules,rfferns,adabag,gbm,knn,pda,glmnet",9,0.516988674217189
"glmnet,rfferns,rf,gbm,rfrules,pda,knn",7,0.512991339107262
"adabag,pda,gbm,knn,glmnet,rfferns,multinom,rfrules",8,0.510992671552299
"rf,glmnet,knn,rfrules,pda,multinom,gbm",7,0.51765489673551
"multinom,glmnet,adabag,gbm,knn,rfrules",6,0.51199200532978
"adabag,knn",2,0.484343770819454
"adabag,knn,rfrules,rfferns,glmnet,pda,multinom,gbm",8,0.510992671552299
"gbm,rfrules,glmnet,pda,rfferns,multinom,adabag,knn,rf",9,0.513657561625583
"pda,multinom,knn,rfrules,rfferns,glmnet,gbm,adabag,rf",9,0.514656895403065
"rf,gbm,pda,rfrules,knn,glmnet,rfferns,multinom",8,0.520652898067955
"rf,gbm,rfrules,multinom,pda",5,0.51798800799467
"gbm,rf,multinom,knn,rfrules,rfferns,glmnet,adabag",8,0.513324450366422
"knn,multinom,rf,rfrules",4,0.524317121918721
"multinom,rfferns,rfrules",3,0.49433710859427
"glmnet,pda,adabag,rf,knn",5,0.510659560293138
"rfrules,adabag,pda,gbm,knn,glmnet,rfferns",7,0.506995336442372
"gbm,glmnet,rf,pda,rfrules",5,0.515656229180546
"rf,multinom,glmnet,pda,rfferns",5,0.509660226515656
"pda,multinom,rf,rfferns,gbm,knn,rfrules,adabag",8,0.515656229180546
"gbm,knn,multinom,rfferns",4,0.513657561625583
"rfferns,adabag,pda,multinom,gbm,glmnet",6,0.506662225183211
"pda,rfferns,multinom",3,0.489007328447702
"pda,glmnet,adabag,gbm,rf,multinom",6,0.508994003997335
"adabag,gbm,glmnet,pda,rfferns,rfrules,multinom",7,0.502998001332445
"gbm,knn,rfrules,glmnet,rfferns,multinom,pda,rf",8,0.51765489673551
"gbm,rfrules,adabag,glmnet,knn,multinom",6,0.513657561625583
"multinom,adabag,rfrules,gbm",4,0.510659560293138
"knn,adabag,rf,pda,gbm,rfrules,rfferns,multinom,glmnet",9,0.513324450366422
"rfferns,rf,knn,multinom",4,0.509660226515656
"gbm,rf,multinom,adabag,rfferns,glmnet",6,0.510992671552299
"rf,rfrules,rfferns,multinom,adabag",5,0.512991339107262
"knn,rf,rfrules,pda,gbm,multinom,glmnet",7,0.51765489673551
"multinom,gbm,knn,rf,rfrules",5,0.524317121918721
"glmnet,rfferns,knn,adabag,multinom,pda,gbm,rf",8,0.510326449033977
"adabag,glmnet",2,0.484343770819454
"gbm,rf,multinom,rfferns,knn,pda,adabag",7,0.515656229180546
"rf,knn,gbm,rfferns,adabag,pda",6,0.520319786808794
"knn,gbm",2,0.478347768154564
"adabag,glmnet,gbm,pda,rfrules,knn,multinom,rfferns",8,0.510992671552299
"rfrules,gbm,knn,rfferns,glmnet,adabag",6,0.503664223850766
"pda,multinom",2,0.489007328447702
"gbm,knn,rf,glmnet,multinom,pda,rfferns,rfrules,adabag",9,0.513657561625583
"gbm,adabag,pda,knn",4,0.512658227848101
"adabag,gbm",2,0.484343770819454
"rfrules,pda,glmnet,multinom,rfferns,rf,adabag,knn,gbm",9,0.513990672884743
"rfferns,rf,knn,adabag,pda,gbm,rfrules,glmnet,multinom",9,0.513657561625583
"glmnet,rfrules,pda,multinom,adabag,rf,rfferns,knn",8,0.509327115256496
"gbm,multinom,pda,adabag",4,0.503997335109927
"gbm,rfrules,pda,multinom,glmnet,adabag",6,0.508660892738175
"multinom,rf,glmnet,adabag,rfferns,gbm,pda,rfrules",8,0.509327115256496
"pda,adabag,rf,multinom,rfrules,knn,gbm",7,0.515323117921386
"pda,knn,gbm,glmnet,multinom,rf,adabag,rfferns,rfrules",9,0.514656895403065
"rf,gbm,rfferns,adabag,rfrules,pda,glmnet,knn,multinom",9,0.514323784143904
"rfrules,pda,knn,multinom",4,0.507661558960693
"rfrules,rf,gbm,adabag,pda,rfferns,knn,multinom",8,0.516322451698867
"gbm,adabag,rfrules,rfferns,pda",5,0.506995336442372
"pda,multinom,adabag,rfrules,glmnet,knn,gbm,rf",8,0.51199200532978
"rfrules,pda,adabag,glmnet,gbm,knn,multinom,rf,rfferns",9,0.513990672884743
"rf,gbm,rfrules,knn,adabag,multinom,pda,rfferns",8,0.519653564290473
"knn,gbm,pda",3,0.512991339107262
"knn,pda,rfferns,rf,adabag,rfrules,glmnet,multinom,gbm",9,0.513990672884743
"rf,pda,adabag,rfferns,rfrules,knn,multinom,gbm",8,0.519653564290473
"glmnet,rfrules,adabag,rf,multinom",5,0.506662225183211
"multinom,rf,rfrules,rfferns,adabag,knn",6,0.515323117921386
"multinom,rfferns",2,0.500333111259161
"adabag,multinom,knn,rfrules,glmnet,pda,gbm,rf",8,0.508660892738175
"pda,rfferns,knn,adabag,rf,glmnet,multinom",7,0.51165889407062
"glmnet,multinom,pda,rf,gbm,rfferns,adabag,knn,rfrules",9,0.509993337774817
"pda,adabag,knn,gbm",4,0.508660892738175
"multinom,rfrules,glmnet,rfferns,pda,gbm,adabag",7,0.512325116588941
"gbm,adabag",2,0.508994003997335
"rf,pda,rfrules,adabag,knn,rfferns,multinom",7,0.517321785476349
"pda,multinom,gbm,rfferns,adabag,knn,rfrules",7,0.508327781479014
"gbm,knn",2,0.508994003997335
"gbm,rfferns,glmnet,multinom,rf",5,0.515989340439707
"pda,knn,multinom",3,0.49433710859427
